id,title,release_year,rating,runtime,director_id
149,The Great Escape,1963,8.1,172,74
150,Kill Bill: Vol. 1,2003,8.1,111,111
151,Rashomon,1950,8.1,88,3
152,The Thing,1982,8.1,109,68
153,Spider-Man: No Way Home,2021,8.1,148,75
154,Finding Nemo,2003,8.1,100,6
155,The Elephant Man,1980,8.1,124,30
156,Chinatown,1974,8.1,130,122
157,Raging Bull,1980,8.1,129,90
158,V for Vendetta,2005,8.1,132,64
159,Gone with the Wind,1939,8.1,238,147
160,"Lock, Stock and Two Smoking Barrels",1998,8.1,107,55
161,Dial M for Murder,1954,8.1,105,5
162,Inside Out,2015,8.1,95,107
163,John Wick: Chapter 4,2023,8.1,169,18
164,The Secret in Their Eyes,2009,8.1,129,79
165,Howl's Moving Castle,2004,8.1,119,57
166,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,89
167,Trainspotting,1996,8.1,93,26
168,The Bridge on the River Kwai,1957,8.1,161,29
169,Prisoners,2013,8.1,153,33
170,Warrior,2011,8.1,140,46
171,Fargo,1996,8.1,98,67
172,Gran Torino,2008,8.1,116,21
173,Catch Me If You Can,2002,8.1,141,135
174,My Neighbor Totoro,1988,8.1,86,57
175,Million Dollar Baby,2004,8.1,132,21
176,Children of Heaven,1997,8.1,89,87
177,Blade Runner,1982,8.1,117,115
178,The Gold Rush,1925,8.1,95,19
179,Klaus,2019,8.1,96,129
180,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,31
181,Before Sunrise,1995,8.1,101,113
182,12 Years a Slave,2013,8.1,134,134
183,Ben-Hur,1959,8.1,212,151
184,On the Waterfront,1954,8.1,108,35
185,The Grand Budapest Hotel,2014,8.1,99,149
186,Gone Girl,2014,8.1,149,28
187,Wild Strawberries,1957,8.1,91,59
188,The General,1926,8.1,67,22
189,Barry Lyndon,1975,8.1,185,133
190,In the Name of the Father,1993,8.1,133,66
191,The Deer Hunter,1978,8.1,183,94
192,The Third Man,1949,8.1,93,17
193,Hacksaw Ridge,2016,8.1,139,93
194,The Wages of Fear,1953,8.1,131,58
195,Memories of Murder,2003,8.1,132,11
196,Sherlock Jr.,1924,8.1,45,15
197,Wild Tales,2014,8.1,122,25
198,Mr. Smith Goes to Washington,1939,8.1,129,42
199,Mad Max: Fury Road,2015,8.1,120,48
200,Mary and Max,2009,8.1,92,2
