id,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
469,72,38017689,2022,19:24,3.44,7.4,1.4,3.6,0.58,0.65,0.51,1.61,2.13,1.01,0.58,0.17,0.58,1.21,8.88,0.465,0.39,0.894
470,80,38017690,2022,22:12,3.83,8.1,1.28,3.54,0.94,1.31,0.79,2.16,2.95,1.18,0.48,0.3,1.03,1.7,9.86,0.472,0.36,0.714
471,6,38017701,2022,6:40,0.67,1.17,0.0,0.17,0.17,0.33,0.33,0.67,1.0,0.5,0.67,0.0,0.33,1.5,1.5,0.571,0.0,0.5
472,77,38017703,2022,30:28,5.49,10.62,1.0,2.83,2.09,2.58,1.12,3.36,4.48,3.31,1.4,0.47,1.66,2.52,14.08,0.517,0.353,0.809
473,12,38017707,2022,5:35,0.67,1.58,0.17,0.58,0.08,0.17,0.17,0.58,0.75,0.92,0.17,0.17,0.33,0.42,1.58,0.421,0.286,0.5
474,46,38017708,2022,17:10,1.74,4.39,0.57,1.74,1.3,1.74,0.43,1.59,2.02,1.2,0.33,0.13,0.93,1.04,5.35,0.396,0.325,0.75
475,76,38017709,2022,15:29,1.88,3.8,0.45,1.26,0.53,0.84,0.63,1.75,2.38,0.78,0.54,0.22,0.46,1.33,4.74,0.495,0.354,0.625
476,78,3547293,2022,23:03,3.18,7.35,0.85,2.81,1.77,2.24,0.62,2.97,3.59,2.42,0.68,0.18,1.24,1.47,8.97,0.433,0.301,0.789
477,43,27924547,2022,12:50,1.67,4.3,1.37,3.91,0.37,0.47,0.42,1.4,1.81,0.7,0.35,0.26,0.28,1.07,5.09,0.389,0.351,0.8
478,34,17896017,2022,9:03,1.18,3.18,0.94,2.47,0.29,0.35,0.12,0.65,0.76,0.47,0.15,0.03,0.21,0.79,3.59,0.37,0.381,0.833
479,44,17896021,2022,18:39,2.52,5.66,0.86,2.55,0.8,0.95,1.61,2.5,4.11,0.98,0.57,0.27,0.43,1.61,6.7,0.446,0.339,0.833
480,80,17896060,2022,16:06,2.25,4.95,1.75,4.19,0.15,0.21,0.44,2.11,2.55,0.89,0.36,0.26,0.38,1.24,6.4,0.455,0.418,0.706
481,17,38017649,2022,18:42,3.47,7.65,1.94,4.82,0.82,1.0,0.59,2.94,3.53,0.59,0.29,0.29,0.65,1.53,9.71,0.454,0.402,0.824
482,75,17896062,2022,28:55,5.89,10.65,0.25,0.76,2.75,3.84,3.23,5.81,9.04,3.88,0.93,0.93,2.57,3.44,14.79,0.553,0.333,0.715
483,52,17896063,2022,15:33,1.6,2.06,0.0,0.02,0.23,0.31,1.9,2.75,4.65,0.48,0.29,0.54,0.52,1.85,3.42,0.776,0.0,0.75
484,9,17896064,2022,5:33,0.33,1.56,0.33,1.33,0.0,0.0,0.0,0.44,0.44,0.33,0.0,0.0,0.11,0.33,1.0,0.214,0.25,0.0
485,78,17896065,2022,31:20,7.08,14.78,1.01,3.14,1.46,1.97,1.96,5.9,7.86,6.19,0.74,0.41,2.76,1.83,16.63,0.479,0.322,0.74
486,77,17896067,2022,21:51,3.21,6.82,1.22,3.45,1.4,1.87,1.1,3.71,4.82,1.26,0.58,0.62,0.78,1.86,9.04,0.47,0.353,0.75
487,75,17896070,2022,12:58,1.15,2.36,0.32,0.79,0.39,0.63,1.6,2.49,4.09,0.87,0.59,0.39,0.63,1.8,3.0,0.486,0.407,0.617
488,52,17896071,2022,22:58,2.31,5.54,1.42,3.9,0.62,0.75,0.54,2.21,2.75,0.79,0.54,0.54,0.58,1.98,6.65,0.417,0.365,0.821
489,6,38017656,2022,5:10,0.67,2.0,0.17,0.5,0.83,1.5,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.5,2.33,0.333,0.333,0.556
490,53,17896073,2022,23:31,3.51,8.38,1.25,3.81,1.62,2.25,1.04,2.0,3.04,2.92,1.26,0.51,1.77,2.26,9.89,0.419,0.327,0.723
491,27,17896074,2022,12:24,1.7,3.63,0.33,1.04,0.48,0.7,0.33,1.41,1.74,2.15,0.3,0.19,0.7,0.89,4.22,0.469,0.321,0.684
492,12,17896075,2022,33:15,7.75,18.67,1.42,5.08,3.0,3.58,1.0,5.17,6.17,6.0,0.83,0.58,3.25,2.83,19.92,0.415,0.279,0.837
493,79,17896076,2022,34:25,6.65,11.99,0.28,1.29,2.59,3.85,2.37,6.63,9.0,2.84,0.76,1.51,1.86,2.76,16.16,0.554,0.216,0.674
494,72,17896078,2022,18:26,2.64,5.13,0.67,1.71,0.86,1.03,0.96,2.0,2.96,1.11,0.56,0.21,0.76,1.58,6.81,0.515,0.39,0.838
495,12,38017662,2022,7:05,1.0,2.33,0.25,0.67,0.33,0.33,0.33,1.33,1.67,0.25,0.33,0.25,0.08,0.67,2.58,0.429,0.375,1.0
496,31,17896089,2022,12:40,3.03,8.26,1.29,3.58,0.52,0.77,0.06,1.1,1.16,2.03,0.19,0.13,1.1,0.74,7.87,0.367,0.36,0.667
497,59,38017677,2022,17:38,1.47,3.53,0.46,1.46,0.44,0.68,0.61,2.58,3.19,2.27,0.75,0.2,0.97,1.68,3.85,0.418,0.314,0.65
498,48,38017679,2022,14:45,3.04,6.94,1.31,3.25,1.35,1.65,0.23,1.63,1.85,1.35,0.35,0.15,0.96,1.33,8.75,0.438,0.404,0.823
499,9,24572055,2022,12:33,1.67,3.33,0.11,0.89,0.56,0.78,1.33,2.11,3.44,0.44,0.11,0.56,0.44,1.89,4.0,0.5,0.125,0.714
500,74,38017682,2022,31:05,5.53,13.28,1.62,4.73,3.59,4.81,0.99,2.91,3.89,5.23,0.82,0.23,3.2,3.27,16.27,0.416,0.343,0.747
501,72,38017683,2022,33:45,6.65,15.58,1.18,3.96,5.47,7.42,1.17,5.74,6.9,3.74,0.83,0.54,2.78,2.22,19.96,0.427,0.298,0.738
502,79,38017684,2022,31:01,4.61,11.29,1.52,4.95,2.05,2.61,1.54,5.66,7.2,1.28,0.54,0.94,1.32,2.87,12.78,0.408,0.307,0.786
503,78,38017686,2022,28:30,5.29,12.19,1.28,3.97,4.82,5.82,1.12,2.96,4.08,1.49,0.62,0.17,1.95,2.08,16.69,0.434,0.323,0.828
504,28,38017687,2022,15:06,2.36,6.11,0.61,2.5,0.5,0.96,0.36,1.96,2.32,1.0,0.36,0.29,0.61,1.71,5.82,0.386,0.243,0.519
505,80,38017688,2022,29:45,4.43,9.78,2.58,6.26,0.78,1.01,1.11,3.53,4.64,1.23,0.76,0.53,0.75,2.03,12.2,0.453,0.411,0.765
506,31,38017691,2022,14:00,1.87,5.16,0.61,2.58,0.32,0.58,0.06,1.39,1.45,1.52,0.48,0.06,0.45,0.94,4.68,0.363,0.238,0.556
507,66,38017692,2022,23:30,4.08,9.26,1.17,3.86,0.88,1.06,0.42,2.32,2.74,1.89,0.5,0.11,1.15,1.74,10.2,0.44,0.302,0.829
508,37,38017693,2022,18:04,1.86,5.81,0.54,1.41,0.7,1.19,0.32,1.89,2.22,2.65,0.68,0.14,1.76,1.81,4.97,0.321,0.385,0.591
509,67,38017694,2022,24:59,3.85,5.94,0.0,0.03,1.43,2.34,3.42,5.46,8.88,1.12,0.66,0.88,1.37,2.72,9.13,0.648,0.0,0.611
510,82,38017695,2022,21:34,3.61,8.05,0.72,2.1,1.33,1.77,2.38,3.67,6.05,1.07,1.17,0.57,1.23,2.3,9.27,0.448,0.343,0.752
511,15,38017696,2022,13:40,1.87,4.6,0.53,2.33,1.2,1.27,0.6,1.47,2.07,0.67,0.47,0.13,0.67,1.27,5.47,0.406,0.229,0.947
512,41,38017697,2022,12:32,1.07,2.59,0.63,1.51,0.34,0.39,0.17,1.66,1.83,0.51,0.22,0.17,0.32,0.8,3.12,0.415,0.419,0.875
513,43,38017698,2022,19:19,3.72,5.84,0.0,0.0,1.56,2.26,2.16,4.91,7.07,0.42,0.65,1.05,0.93,2.19,9.0,0.637,0.0,0.691
514,56,38017699,2022,25:58,4.46,9.86,0.59,2.39,1.45,2.07,1.7,3.57,5.27,2.54,0.77,0.41,1.73,2.46,10.96,0.453,0.246,0.698
515,30,38017700,2022,5:14,0.6,1.43,0.07,0.57,0.13,0.17,0.13,0.47,0.6,0.6,0.27,0.17,0.27,0.43,1.4,0.419,0.118,0.8
516,74,38017705,2022,23:01,4.03,5.59,0.01,0.04,1.11,2.15,3.12,5.26,8.38,0.93,0.35,2.35,0.78,2.28,9.18,0.72,0.333,0.516
517,51,38017706,2022,19:02,2.12,4.86,0.96,2.43,0.76,1.1,0.92,4.08,5.0,1.65,0.57,0.27,0.75,2.31,5.96,0.435,0.395,0.696
518,58,38017710,2022,13:48,1.24,2.59,0.02,0.21,0.64,1.02,1.45,1.5,2.95,0.53,0.36,0.98,0.34,2.21,3.14,0.48,0.083,0.627
519,56,38017711,2022,11:05,1.48,3.54,0.29,1.0,0.61,0.8,0.86,1.48,2.34,0.61,0.18,0.23,0.52,1.21,3.86,0.419,0.286,0.756
520,12,38017712,2022,5:10,0.58,1.67,0.25,0.75,0.5,0.5,0.25,0.75,1.0,0.5,0.08,0.08,1.33,0.83,1.92,0.35,0.333,1.0
521,16,38017714,2022,4:18,0.44,1.0,0.38,0.75,0.25,0.44,0.25,0.31,0.56,0.38,0.31,0.06,0.06,0.63,1.5,0.438,0.5,0.571
522,16,38017715,2022,6:18,1.25,2.38,0.19,0.44,0.63,0.63,0.31,1.25,1.56,0.31,0.25,0.38,0.19,0.63,3.31,0.526,0.429,1.0
523,40,38017716,2022,14:22,1.95,4.65,0.65,2.48,0.38,0.58,0.48,2.2,2.68,1.15,0.35,0.18,0.65,1.08,4.93,0.419,0.263,0.652
524,14,42097199,2022,14:08,1.21,3.14,0.36,1.43,0.43,0.43,0.79,1.86,2.64,0.29,0.29,0.07,0.21,1.64,3.21,0.386,0.25,1.0
525,9,38017717,2022,5:26,0.89,1.78,0.33,1.0,0.11,0.11,0.33,0.44,0.78,0.44,0.0,0.11,0.0,0.33,2.22,0.5,0.333,1.0
526,5,38017726,2022,2:36,0.4,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,0.4,0.0,0.0
